symbol,horizon,scenario,segments,final_equity,return_pct,trades,fees_usd,turnover_usd,exposure_pct,benchmark_return_pct,verdict,metric_total_return,metric_max_drawdown,metric_sharpe,metric_trades,metric_win_rate
BTCUSDT,5y,baseline,5,2.4781034941244674e-10,-99.99999999999753,27298,26671.12381302841,66677809.53257088,50.0,67.29553028110556,failed,-0.9999999999999752,0.9992471275654802,-193.62124505086618,27298,0.14382006007766138
BTCUSDT,5y,stress,5,1.5850558447563833e-15,-100.0,26868,18988.156954548744,47470392.38637176,49.86560992419022,67.29553028110556,failed,-1.0,0.9998845666921852,-269.4995019983076,26868,0.11322018758374275
ETHUSDT,5y,baseline,5,7.10614438153453e-10,-99.9999999999929,27072,27287.26486295599,68218162.15738972,50.0,-30.927473380674297,failed,-0.999999999999929,0.9986363494210151,-137.60617237815455,27072,0.1647089243498818
ETHUSDT,5y,stress,5,2.8420013402868955e-15,-100.0,26890,19337.497206700686,48343743.01675175,49.679965222028144,-30.927473380674297,failed,-1.0,0.9998824519592668,-195.21219773429783,26890,0.13447378207512087
SOLUSDT,5y,baseline,5,5.1750414622313e-10,-99.99999999999483,27213,28453.139380418605,71132848.45104666,49.999103541013,107.43594989363454,failed,-0.9999999999999483,0.9987090075240845,-98.0889512468757,27213,0.21658766030941096
SOLUSDT,5y,stress,5,1.5667057380624388e-15,-100.0,27107,19801.664488600407,49504161.221501,49.80750486103712,107.43594989363454,failed,-1.0,0.9998847585768262,-139.05093994459935,27107,0.18722101302246652
BNBUSDT,5y,baseline,5,7.786659903899614e-09,-99.99999999992212,25374,28574.77989487461,71436949.73718652,50.0,80.16662073832525,failed,-0.9999999999992213,0.9975137927762895,-153.23264967286917,25374,0.16907070229368645
BNBUSDT,5y,stress,5,4.7055881621093036e-14,-100.0,25374,20120.779949211927,50301949.87302973,50.0,80.16662073832525,failed,-1.0,0.9998006668352876,-219.20625311162,25374,0.13762118704185386
XRPUSDT,5y,baseline,5,2.934308032495811e-09,-99.99999999997065,25196,27949.615741433714,69874039.35358414,50.00096089170751,47.26941087687966,failed,-0.9999999999997066,0.9980997277624764,-114.48913799014277,25196,0.18876012065407208
XRPUSDT,5y,stress,5,1.9777646274893347e-14,-100.0,25196,19704.36973076616,49260924.326915644,50.00096089170751,47.26941087687966,failed,-1.0,0.9998379326570216,-162.01893414586988,25196,0.1585569137958406
