symbol,horizon,scenario,final_equity,return_pct,trades,fees_usd,turnover_usd,exposure_pct,benchmark_return_pct,verdict,metric_total_return,metric_max_drawdown,metric_sharpe,metric_trades,metric_win_rate
BTCUSDT,12m,baseline,23.248242217838996,-99.76751757782161,5163,5236.417192715887,13091042.981789706,50.0,-45.27324902205957,failed,-0.9976751757782161,0.9976751757782162,-219.13613426490463,5163,0.13945380592678674
BTCUSDT,12m,stress,2.0357430762466278,-99.97964256923754,5163,3743.624099479798,9359060.24869943,50.0,-45.27324902205957,failed,-0.9997964256923754,0.9997964256923753,-307.07659440671387,5163,0.1084640712763897
ETHUSDT,12m,baseline,22.9776657053052,-99.77022334294695,5246,5704.498572266741,14261246.430666836,50.0,-36.7439520186773,failed,-0.9977022334294695,0.9977216797495562,-148.5775424723931,5246,0.1595501334349981
ETHUSDT,12m,stress,1.9651698943542681,-99.98034830105645,5246,4041.627360019815,10104068.400049489,50.0,-36.7439520186773,failed,-0.9998034830105645,0.9998050605592695,-208.98056409198898,5246,0.1319100266869996
SOLUSDT,12m,baseline,12.909924759155054,-99.87090075240846,5413,4901.24566373024,12253114.15932557,50.0,-52.416957477058304,failed,-0.9987090075240845,0.9987090075240845,-139.32560685634266,5413,0.18363199704415298
SOLUSDT,12m,stress,1.1524142317374415,-99.98847585768263,5332,3540.9304434082737,8852326.108520685,49.27027526325512,-52.416957477058304,failed,-0.9998847585768262,0.9998847585768262,-190.8017282880341,5332,0.1551012753188297
BNBUSDT,12m,baseline,44.70923632274346,-99.55290763677257,4949,5812.952320329927,14532380.800824704,50.0,-16.765856405729153,failed,-0.9955290763677257,0.9955294701953529,-162.03931911544998,4949,0.16589209941402303
BNBUSDT,12m,stress,4.235531688017398,-99.95764468311982,4949,4006.6767698518192,10016691.924629437,50.0,-16.765856405729153,failed,-0.9995764468311983,0.9995764468311983,-232.7975403104976,4949,0.13295615275813297
XRPUSDT,12m,baseline,21.465992989640757,-99.78534007010359,5204,5054.929186475865,12637322.966189623,50.00480445853752,-53.506574827802126,failed,-0.9978534007010359,0.9978534007010359,-145.72594319003395,5204,0.18024596464258263
XRPUSDT,12m,stress,1.840219364243024,-99.98159780635757,5204,3645.1850667507288,9112962.666876847,50.00480445853752,-53.506574827802126,failed,-0.9998159780635757,0.9998159780635757,-204.24692017456786,5204,0.1470023059185242
